id,user,text,image,caption,created_at,like,views,bookmarks,category,vote,tagged_text,tagged_caption
a38f15ad-b8b5-4bb0-89a5-a8f44fd4d302,6 God,nan,content_images/Capture.PNG,"The woman that I would try
Is happy with a good guy
But I've been hackin' so much",2025-08-26 05:19:16.592282+02,1,0,1,nan,0,a38f15ad-b8b5-4bb0-89a5-a8f44fd4d302: nan,"a38f15ad-b8b5-4bb0-89a5-a8f44fd4d302: The woman that I would try
Is happy with a good guy
But I've been hackin' so much"
48e1a3b8-bf01-413e-86de-6fa2010d4a71,6 God,nan,content_images/Capture_6ZjXVDF.PNG,"Lucky that you stayed on
I need someone to put this weight on
Fuck, I'm sorry",2025-08-26 22:39:21+02,1,0,1,nan,0,48e1a3b8-bf01-413e-86de-6fa2010d4a71: nan,"48e1a3b8-bf01-413e-86de-6fa2010d4a71: Lucky that you stayed on
I need someone to put this weight on
Fuck, I'm sorry"
44e2dd66-85a4-41c3-ad2b-abe4d7484258,6 God,nan,content_images/https___images_kPKI5cF.genius.com_843b2b84471f4b69d44f74db192ad257.1000x1000x1.jpg,"We live in a generation of not being in love and not being together
But we sure make it feel like we're together
'Cause we're scared to see each other with somebody else",2025-08-29 15:34:43.201595+02,0,0,1,nan,0,44e2dd66-85a4-41c3-ad2b-abe4d7484258: nan,"44e2dd66-85a4-41c3-ad2b-abe4d7484258: We live in a generation of not being in love and not being together
But we sure make it feel like we're together
'Cause we're scared to see each other with somebody else"
c4ce4c7a-0212-4749-ad65-91b69d7f661f,6 God,nan,content_images/https___images.genius.com_843b2b84471f4b69d44f74db192ad257.1000x1000x1.jpg,"When a good thing goes bad, it's not the end of the world
It's just the end of a world that you had with one girl
And she's the reason it happened, but she's overreacting
And it's all because she don't want things to change",2025-08-29 15:33:35.46859+02,0,0,1,nan,0,c4ce4c7a-0212-4749-ad65-91b69d7f661f: nan,"c4ce4c7a-0212-4749-ad65-91b69d7f661f: When a good thing goes bad, it's not the end of the world
It's just the end of a world that you had with one girl
And she's the reason it happened, but she's overreacting
And it's all because she don't want things to change"
0b7e90ae-628c-480a-8d26-2b5307be9ebc,6 God,nan,content_images/https___images.genius.com_56db93b634f5aa512f2705df1f12265a.1000x1000x1.png,"The biggest hit and second single from Kanye’s third studio album, Graduation, “Stronger” samples French electronic music duo Daft Punk’s “Harder, Better, Faster, Stronger,” which in turn samples Edwin Birdsong’s 1979 track, “Cola Bottle Baby.”",2025-08-29 15:57:36.98619+02,0,0,1,nan,0,0b7e90ae-628c-480a-8d26-2b5307be9ebc: nan,"0b7e90ae-628c-480a-8d26-2b5307be9ebc: The biggest hit and second single from Kanye’s third studio album, Graduation, “Stronger” samples French electronic music duo Daft Punk’s “Harder, Better, Faster, Stronger,” which in turn samples Edwin Birdsong’s 1979 track, “Cola Bottle Baby.”"
eea928f5-0ed9-402c-90b6-2dfd3c067799,6 God,nan,content_images/https___images_2nTdYSB.genius.com_843b2b84471f4b69d44f74db192ad257.1000x1000x1.jpg,"So cry if you need to, but I can't stay to watch you
That's the wrong thing to do
Touch if you need to, but I can't stay to hold you
That's the wrong thing to do
Talk if you need to, but I can't stay to hear you
That's the wrong thing to do
'Cause you'll say you love me, and I'll end up lying
And say, ""I love you too""",2025-08-29 15:34:01.446477+02,0,0,0,nan,0,eea928f5-0ed9-402c-90b6-2dfd3c067799: nan,"eea928f5-0ed9-402c-90b6-2dfd3c067799: So cry if you need to, but I can't stay to watch you
That's the wrong thing to do
Touch if you need to, but I can't stay to hold you
That's the wrong thing to do
Talk if you need to, but I can't stay to hear you
That's the wrong thing to do
'Cause you'll say you love me, and I'll end up lying
And say, ""I love you too"""
3cae97fe-1a34-4f50-9ddd-c68b16dc9ec1,6 God,nan,content_images/https___images.genius.com_718de9d1fbcaae9f3c9b1bf483bfa8f1.1000x1000x1.png,"Mama, just killed a man
Put a gun against his head, pulled my trigger, now he's dead
Mama, life had just begun
But now I've gone and thrown it all away
Mama, ooh, didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on as if nothing really matters",2025-08-29 15:55:03.343236+02,0,0,0,nan,0,3cae97fe-1a34-4f50-9ddd-c68b16dc9ec1: nan,"3cae97fe-1a34-4f50-9ddd-c68b16dc9ec1: Mama, just killed a man
Put a gun against his head, pulled my trigger, now he's dead
Mama, life had just begun
But now I've gone and thrown it all away
Mama, ooh, didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on as if nothing really matters"
9e24db17-ddd3-4272-9115-dddd9b5bc59e,6 God,nan,nan,What do you kmow about pain,2025-08-29 15:59:02.61142+02,0,0,1,nan,0,9e24db17-ddd3-4272-9115-dddd9b5bc59e: nan,9e24db17-ddd3-4272-9115-dddd9b5bc59e: What do you kmow about pain
42ba302a-c600-4d91-ae4e-d33958e16f24,6 God,nan,content_images/https___images.genius.com_d309c2514750e66a756e539ee74119df.600x620x1.jpg,"The first track off Kanye West’s album 808s & Heartbreak. Sung primarily in autotune, and seen as a departure from old school Ye.

Kanye has explained in concert that this song is “about an ex-girlfriend you call on Friday nights just to have sex” and she “says she’ll come over but you wait all night and she still doesn’t come knocking on your door”

This song is highly criticised because of the prominent use of the auto-tune effect. This song (and album) was groundbreaking for Kanye West as an artist. As he demonstrated something totally different to what he usually did, people became worried that Kanye West pandered to the mainstream music audience in producing and writing this album.

On October 19th, 2015, Kanye released a remastered version, featuring violinist Caroline Shaw.",2025-08-29 16:00:49.881344+02,0,0,1,nan,0,42ba302a-c600-4d91-ae4e-d33958e16f24: nan,"42ba302a-c600-4d91-ae4e-d33958e16f24: The first track off Kanye West’s album 808s & Heartbreak. Sung primarily in autotune, and seen as a departure from old school Ye.

Kanye has explained in concert that this song is “about an ex-girlfriend you call on Friday nights just to have sex” and she “says she’ll come over but you wait all night and she still doesn’t come knocking on your door”

This song is highly criticised because of the prominent use of the auto-tune effect. This song (and album) was groundbreaking for Kanye West as an artist. As he demonstrated something totally different to what he usually did, people became worried that Kanye West pandered to the mainstream music audience in producing and writing this album.

On October 19th, 2015, Kanye released a remastered version, featuring violinist Caroline Shaw."
1b3a340a-4d1f-4504-a397-89a986dd076c,6 God,nan,content_images/https___images_9obba1G.genius.com_718de9d1fbcaae9f3c9b1bf483bfa8f1.1000x1000x1.png,"Kanye’s intro to his third album, Graduation, is a wake-up call to himself and the world. It also gives Kanye a chance to show off his polished lyrical abilities.

The song is part of a larger metaphor: The album Graduation is Kanye’s “graduation” in the rap game. “Good Morning” is told as if Kanye is waking up on his Graduation Day, reminiscing about his college days and finally receiving his “rapping degree” in the third verse. The school/college theme is very present throughout the song.

Kanye samples Jay-Z’s “The Ruler’s Back” and Elton John’s “Someone Saved My Life Tonight” (both artists have been featured on one of Kanye’s songs).

On a side note, as if writing and producing this track wasn’t enough, Ye also developed a creative storyline for a video – despite the song never being released as an actual single.

The music video for “Good Morning” is essentially the result of Japanese pop artist Takashi Murakami bringing to life the various designs he had composed for Graduation’s album artwork through the use of cel-shaded animation.",2025-08-29 16:00:14.192628+02,0,0,1,nan,0,1b3a340a-4d1f-4504-a397-89a986dd076c: nan,"1b3a340a-4d1f-4504-a397-89a986dd076c: Kanye’s intro to his third album, Graduation, is a wake-up call to himself and the world. It also gives Kanye a chance to show off his polished lyrical abilities.

The song is part of a larger metaphor: The album Graduation is Kanye’s “graduation” in the rap game. “Good Morning” is told as if Kanye is waking up on his Graduation Day, reminiscing about his college days and finally receiving his “rapping degree” in the third verse. The school/college theme is very present throughout the song.

Kanye samples Jay-Z’s “The Ruler’s Back” and Elton John’s “Someone Saved My Life Tonight” (both artists have been featured on one of Kanye’s songs).

On a side note, as if writing and producing this track wasn’t enough, Ye also developed a creative storyline for a video – despite the song never being released as an actual single.

The music video for “Good Morning” is essentially the result of Japanese pop artist Takashi Murakami bringing to life the various designs he had composed for Graduation’s album artwork through the use of cel-shaded animation."
